CODE;PARENT_CODE;TYPE_CODE;NAME.RU.NAME;NAME.EN.NAME;NAME.UA.NAME;EXT.YAMARKET.0;EXT.ZIP.0;LONGITUDE;LATITUDE;EXT.ZIP_LOWER.0
0000000317;0000000310;CITY;РўРµРјРёСЂС‚Р°Сѓ;Temirtau;;;;;;
0000000318;0000000310;CITY;РЁР°С…С‚РёРЅСЃРє;Shakhtin;;;;;;
0000000319;0000000276;REGION;РљРѕСЃС‚Р°РЅР°Р№СЃРєР°СЏ РѕР±Р»Р°СЃС‚СЊ;Kostanay region;;;;;;
0000000320;0000000319;CITY;РЎР°СЂС‹РєРѕР»СЊ;Sarykoly;;;;;;
0000000321;0000000319;CITY;Р СѓРґРЅС‹Р№;Rudnyi;;;;;;
0000000322;0000000319;CITY;Р–РёС‚РёРєР°СЂР°;Zhitikar;;;;;;
0000000323;0000000319;CITY;РђСЂРєР°Р»С‹Рє;Arkalyk;;;;;;
0000000324;0000000319;CITY;РљРѕСЃС‚Р°РЅР°Р№;Kostanai;;;;;;
0000000325;0000000319;CITY;Р›РёСЃР°РєРѕРІСЃРє;Lisakovsk;;;;;;
0000000326;0000000276;REGION;РљС‹Р·С‹Р»РѕСЂРґРёРЅСЃРєР°СЏ РѕР±Р»Р°СЃС‚СЊ;Kyzylorda region;;;;;;
0000000327;0000000326;CITY;РљС‹Р·С‹Р»РѕСЂРґР°;Kizilorda;;;;;;
0000000328;0000000326;CITY;Р‘Р°Р№РєРѕРЅСѓСЂ;Baikonur;;;;;;
0000000329;0000000326;CITY;РђСЂР°Р»СЊСЃРє;Aralsk ;;;;;;
0000000330;0000000276;REGION;РњР°РЅРіРёСЃС‚Р°СѓСЃРєР°СЏ РѕР±Р»Р°СЃС‚СЊ;Mangystau region;;;;;;
0000000331;0000000330;CITY;Р–Р°РЅР°РѕР·РµРЅ;Zhanaoze;;;;;;
0000000332;0000000330;CITY;РђРєС‚Р°Сѓ;Aqtau;;;;;;
0000000333;0000000276;REGION;РџР°РІР»РѕРґР°СЂСЃРєР°СЏ РѕР±Р»Р°СЃС‚СЊ;Pavlodar region;;;;;;
0000000334;0000000333;CITY;РђРєСЃСѓ;Aksu;;;;;;
0000000335;0000000333;CITY;РџР°РІР»РѕРґР°СЂ;Pavlodar;;;;;;
0000000336;0000000333;CITY;Р�СЂС‚С‹С€СЃРє;Irtyshs;;;;;;
0000000337;0000000333;CITY;Р­РєРёР±Р°СЃС‚СѓР·;Ekibastuz;;;;;;
0000000338;0000000276;REGION;Р®Р¶РЅРѕ-РљР°Р·Р°С…СЃС‚Р°РЅСЃРєР°СЏ РѕР±Р»Р°СЃС‚СЊ;South Kazakhstan region;;;;;;
0000000339;0000000338;CITY;РЁР°СЂРґР°СЂР°;Shardar;;;;;;
0000000340;0000000338;CITY;РўСѓСЂРєРµСЃС‚Р°РЅ;Turkestan;;;;;;
0000000341;0000000338;CITY;РЎР°СЂС‹Р°РіР°С€;Saryagas;;;;;;
0000000342;0000000338;CITY;Р›РµРЅРіРµСЂ;Lenger;;;;;;
0000000343;0000000338;CITY;РљРµРЅС‚Р°Сѓ;Kentau;;;;;;
0000000344;0000000338;CITY;Р–РµС‚С‹СЃР°Р№;Dzhetis;;;;;;
0000000345;0000000338;CITY;РЁС‹РјРєРµРЅС‚;Shymken;;;;;;
0000000346;0000000276;REGION;РђРєРјРѕР»РёРЅСЃРєР°СЏ РѕР±Р»Р°СЃС‚СЊ;Akmola region;;;;;;
0000000347;0000000346;CITY;Р©СѓС‡РёРЅСЃРє;Schuchi;;;;;;
0000000348;0000000346;CITY;РЎС‚РµРїРЅРѕРіРѕСЂСЃРє;Stepnogorsk;;;;;;
0000000349;0000000346;CITY;РњР°РєРёРЅСЃРє;Makinsk;;;;;;
0000000350;0000000346;CITY;РљРѕРєС€РµС‚Р°Сѓ;Koksheta;;;;;;
0000000351;0000000346;CITY;Р•СЂРјРµРЅС‚Р°Сѓ;Ermentau;;;;;;
0000000352;0000000346;CITY;Р”РµСЂР¶Р°РІРёРЅСЃРє;Derzavinsk;;;;;;
0000000353;0000000346;CITY;РђС‚Р±Р°СЃР°СЂ;Atbasar;;;;;;
0000000354;0000000346;CITY;РђРєРєРѕР»СЊ;Akkol ;;;;;;
0000000355;0000000276;REGION;РђРєС‚СЋР±РёРЅСЃРєР°СЏ РѕР±Р»Р°СЃС‚СЊ;Aktobe region;;;;;;
0000000356;0000000355;CITY;Р­РјР±Р°;Emba;;;;;;
0000000357;0000000355;CITY;РҐСЂРѕРјС‚Р°Сѓ;Xromtau;;;;;;
0000000358;0000000355;CITY;РђР»РіР°;Alga;;;;;;
0000000359;0000000355;CITY;РљР°РЅРґС‹Р°РіР°С€;Kandyagas;;;;;;
0000000360;0000000276;REGION;РЎРµРІРµСЂРѕ-РљР°Р·Р°С…СЃС‚Р°РЅСЃРєР°СЏ РѕР±Р»Р°СЃС‚СЊ;North Kazakhstan region;;;;;;
0000000361;0000000360;CITY;РџРµС‚СЂРѕРїР°РІР»РѕРІСЃРє;Petropavlovsk;;;;;;
0000000362;0000000276;REGION;РђСЃС‚Р°РЅР°;Astana;;;;;;
0000000363;0000000362;CITY;РђСЃС‚Р°РЅР°;Astana;;;;;;
